roboflow_path,roboflow_rel_path,roboflow_split,match_path,match_rel_path,match_split,source,method,distance,decision
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000001_07f48740.jpg,level_1/patient_image_000001_07f48740.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_020618.jpg,base_test_base_cx_020618.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000006_4aa37c68.jpg,level_1/patient_image_000006_4aa37c68.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_test_237.png,base_train_base_test_237.png,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000010_5ed86d8c.jpg,level_1/patient_image_000010_5ed86d8c.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_015094.jpg,base_train_base_cx_015094.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000015_17fab6ee.jpg,level_1/patient_image_000015_17fab6ee.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_umfih_123.jpg,base_train_base_umfih_123.jpg,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000020_353539ca.jpg,level_1/patient_image_000020_353539ca.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_val_35.png,base_train_base_val_35.png,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000022_4eb9fa52.jpg,level_1/patient_image_000022_4eb9fa52.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_test_22.png,base_train_base_test_22.png,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000043_7dfff7e3.jpg,level_1/patient_image_000043_7dfff7e3.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_017390.jpg,base_train_base_cx_017390.jpg,train,existing,dhash,1,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000049_157393ab.jpg,level_1/patient_image_000049_157393ab.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_001752.jpg,base_train_base_cx_001752.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000055_084cf9be.jpg,level_1/patient_image_000055_084cf9be.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\val\base_train_base_umfih_1525.jpg,base_train_base_umfih_1525.jpg,val,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000057_5e79eb68.jpg,level_1/patient_image_000057_5e79eb68.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_017331.jpg,base_test_base_cx_017331.jpg,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000065_f269e0d0.jpg,level_1/patient_image_000065_f269e0d0.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_umfih_123.jpg,base_train_base_umfih_123.jpg,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000110_d2b43f3e.jpg,level_1/patient_image_000110_d2b43f3e.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_022250.jpg,base_train_base_cx_022250.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000154_72770c6b.jpg,level_1/patient_image_000154_72770c6b.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_021767.jpg,base_test_base_cx_021767.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000169_5b675efb.jpg,level_1/patient_image_000169_5b675efb.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_017076.jpg,base_train_base_cx_017076.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000186_7c3fbae5.jpg,level_1/patient_image_000186_7c3fbae5.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_umfih_1114.jpg,base_train_base_umfih_1114.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000192_ff419a8a.jpg,level_1/patient_image_000192_ff419a8a.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\val\base_train_base_test_40.png,base_train_base_test_40.png,val,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000194_fde52b01.jpg,level_1/patient_image_000194_fde52b01.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_005612.jpg,base_test_base_cx_005612.jpg,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000505_dc092d23.jpg,level_1/patient_image_000505_dc092d23.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_umfih_v25.jpg,base_test_base_umfih_v25.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000515_62943aaa.jpg,level_1/patient_image_000515_62943aaa.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_026224.jpg,base_train_base_cx_026224.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000524_16efeae5.jpg,level_1/patient_image_000524_16efeae5.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_umfih_v54.jpg,base_test_base_umfih_v54.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000557_ef03aa7a.jpg,level_1/patient_image_000557_ef03aa7a.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_test_46.png,base_train_base_test_46.png,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000613_020562fc.jpg,level_1/patient_image_000613_020562fc.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_test_22.png,base_train_base_test_22.png,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000803_09145696.jpg,level_1/patient_image_000803_09145696.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_test_20.png,base_train_base_test_20.png,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_2\patient_image_000009_ea22106e.jpg,level_2/patient_image_000009_ea22106e.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\val\base_test_base_test_243.png,base_test_base_test_243.png,val,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_2\patient_image_000012_86f50079.jpg,level_2/patient_image_000012_86f50079.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_008353.jpg,base_test_base_cx_008353.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_2\patient_image_000048_8f55577f.jpg,level_2/patient_image_000048_8f55577f.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_016877.jpg,base_train_base_cx_016877.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_2\patient_image_000058_0d2690d1.jpg,level_2/patient_image_000058_0d2690d1.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_val_base_cx_023119.jpg,base_val_base_cx_023119.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_2\patient_image_000072_24a7ca89.jpg,level_2/patient_image_000072_24a7ca89.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_026257.jpg,base_train_base_cx_026257.jpg,train,existing,dhash,4,exclude
