roboflow_path,roboflow_rel_path,roboflow_split,match_path,match_rel_path,match_split,source,method,distance,decision
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000005_89a2810f.jpg,level_1/patient_image_000005_89a2810f.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_006341.jpg,base_train_base_cx_006341.jpg,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000014_5e758ad3.jpg,level_1/patient_image_000014_5e758ad3.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_021071.jpg,base_train_base_cx_021071.jpg,train,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000042_d3a22881.jpg,level_1/patient_image_000042_d3a22881.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_umfih_1245.jpg,base_train_base_umfih_1245.jpg,train,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000061_2d347679.jpg,level_1/patient_image_000061_2d347679.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_010103.jpg,base_train_base_cx_010103.jpg,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000064_5e3832ed.jpg,level_1/patient_image_000064_5e3832ed.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_009868.jpg,base_train_base_cx_009868.jpg,train,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000070_5c483f70.jpg,level_1/patient_image_000070_5c483f70.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_umfih_v56.jpg,base_test_base_umfih_v56.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000075_3ce079b5.jpg,level_1/patient_image_000075_3ce079b5.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_022475.jpg,base_test_base_cx_022475.jpg,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000076_bfd1d96f.jpg,level_1/patient_image_000076_bfd1d96f.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_val_5.png,base_train_base_val_5.png,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000105_1b343ea2.jpg,level_1/patient_image_000105_1b343ea2.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_umfih_1431.jpg,base_train_base_umfih_1431.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000148_f7015263.jpg,level_1/patient_image_000148_f7015263.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_train_base_cx_012132.jpg,base_train_base_cx_012132.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000152_2fac999b.jpg,level_1/patient_image_000152_2fac999b.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_006343.jpg,base_test_base_cx_006343.jpg,train,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\brar_bone_resorption\extracted\level_1\patient_image_000158_1a300db2.jpg,level_1/patient_image_000158_1a300db2.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_kaggle_6class_auto_v3\images\train\base_test_base_cx_005612.jpg,base_test_base_cx_005612.jpg,train,existing,dhash,5,exclude
