roboflow_path,roboflow_rel_path,roboflow_split,match_path,match_rel_path,match_split,source,method,distance,decision
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3e071de5-Jalilvand_Yones_2022-06-12140411_jpg.rf.73a5e92091e20ebbcf64e237a8ac9d90.jpg,train/images/3e071de5-Jalilvand_Yones_2022-06-12140411_jpg.rf.73a5e92091e20ebbcf64e237a8ac9d90.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\3e071de5-Jalilvand_Yones_2022-06-12140411_jpg.rf.6d2957611126ba21401b6fe7a6c91cf1.jpg,test/images/3e071de5-Jalilvand_Yones_2022-06-12140411_jpg.rf.6d2957611126ba21401b6fe7a6c91cf1.jpg,test,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\584b977f-Boroghani_Samira_39yo_07102020_180215_jpg.rf.ced7dc2ca5e5e494954136eeb1560a66.jpg,train/images/584b977f-Boroghani_Samira_39yo_07102020_180215_jpg.rf.ced7dc2ca5e5e494954136eeb1560a66.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\584b977f-Boroghani_Samira_39yo_07102020_180215_jpg.rf.377a36f260b0dd47c78e97d302173a00.jpg,test/images/584b977f-Boroghani_Samira_39yo_07102020_180215_jpg.rf.377a36f260b0dd47c78e97d302173a00.jpg,test,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\e31a9f23-Mehr_varz_Raziyeh_2022-06-12141119_jpg.rf.f0dc73a138057873b678272685072ee0.jpg,train/images/e31a9f23-Mehr_varz_Raziyeh_2022-06-12141119_jpg.rf.f0dc73a138057873b678272685072ee0.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\e31a9f23-Mehr_varz_Raziyeh_2022-06-12141119_jpg.rf.dbd7b8c378bdc16abf5a1f8efe666d49.jpg,test/images/e31a9f23-Mehr_varz_Raziyeh_2022-06-12141119_jpg.rf.dbd7b8c378bdc16abf5a1f8efe666d49.jpg,test,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\1162760000-jpg_png_jpg.rf.d45e416d70b335fa30f651b45a7933f3.jpg,train/images/1162760000-jpg_png_jpg.rf.d45e416d70b335fa30f651b45a7933f3.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\1162760000-jpg_png_jpg.rf.b460217ffbbe7d7b74946b7d60deb8ad.jpg,train/images/1162760000-jpg_png_jpg.rf.b460217ffbbe7d7b74946b7d60deb8ad.jpg,train,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\2126380000-jpg_png_jpg.rf.b3116ed12b5ecb68b1a39c31464b9542.jpg,train/images/2126380000-jpg_png_jpg.rf.b3116ed12b5ecb68b1a39c31464b9542.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\2126380000-jpg_png_jpg.rf.12cd3a8291ef5b4dec817b51a0e434f5.jpg,train/images/2126380000-jpg_png_jpg.rf.12cd3a8291ef5b4dec817b51a0e434f5.jpg,train,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\2405470000-jpg_png_jpg.rf.a61121ee7e9020775cc819afbe7c84a1.jpg,train/images/2405470000-jpg_png_jpg.rf.a61121ee7e9020775cc819afbe7c84a1.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\2405470000-jpg_png_jpg.rf.3ed796ec37fd88511cfbc0a5bea6cc3f.jpg,train/images/2405470000-jpg_png_jpg.rf.3ed796ec37fd88511cfbc0a5bea6cc3f.jpg,train,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3008120000-jpg_png_jpg.rf.655d14d2ba7478263fe462b81a479463.jpg,train/images/3008120000-jpg_png_jpg.rf.655d14d2ba7478263fe462b81a479463.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3008120000-jpg_png_jpg.rf.4ddea56f1f265e1b1824979a64eb7cae.jpg,train/images/3008120000-jpg_png_jpg.rf.4ddea56f1f265e1b1824979a64eb7cae.jpg,train,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3027370000-jpg_png_jpg.rf.cf9e4358dca5105a86ca8a3e3334c148.jpg,train/images/3027370000-jpg_png_jpg.rf.cf9e4358dca5105a86ca8a3e3334c148.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3027370000-jpg_png_jpg.rf.58c5915f30f97ef4e801bd197481fbc8.jpg,train/images/3027370000-jpg_png_jpg.rf.58c5915f30f97ef4e801bd197481fbc8.jpg,train,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3229280000-jpg_png_jpg.rf.92ab320895bb7a40fb510183c40555db.jpg,train/images/3229280000-jpg_png_jpg.rf.92ab320895bb7a40fb510183c40555db.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3229280000-jpg_png_jpg.rf.37a5edaa6efd19448a47ed4742d810c6.jpg,train/images/3229280000-jpg_png_jpg.rf.37a5edaa6efd19448a47ed4742d810c6.jpg,train,roboflow,sha256,exact,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3346860000-jpg_png_jpg.rf.613e4fea52b531ab632cee0724ee2900.jpg,train/images/3346860000-jpg_png_jpg.rf.613e4fea52b531ab632cee0724ee2900.jpg,train,C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\train\images\3346860000-jpg_png_jpg.rf.4ff5677902cc628f26e1b1e4c8f9be10.jpg,train/images/3346860000-jpg_png_jpg.rf.4ff5677902cc628f26e1b1e4c8f9be10.jpg,train,roboflow,sha256,exact,exclude
