roboflow_path,roboflow_rel_path,roboflow_split,match_path,match_rel_path,match_split,source,method,distance,decision
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1001160000-jpg_png_jpg.rf.2d2d8bb5228df01f1c26b4bc37d11a5b.jpg,test/images/1001160000-jpg_png_jpg.rf.2d2d8bb5228df01f1c26b4bc37d11a5b.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_009559.jpg,base_cx_009559.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1007190000-jpg_png_jpg.rf.65861d225e41a756c5b85234ca81feca.jpg,test/images/1007190000-jpg_png_jpg.rf.65861d225e41a756c5b85234ca81feca.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_020203.jpg,base_cx_020203.jpg,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1104270000-jpg_png_jpg.rf.a7609208e95a8624f1bc754f2b796db1.jpg,test/images/1104270000-jpg_png_jpg.rf.a7609208e95a8624f1bc754f2b796db1.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_014065.jpg,base_cx_014065.jpg,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1110470000-jpg_png_jpg.rf.675642d855ab402a4e70f62f46e6e078.jpg,test/images/1110470000-jpg_png_jpg.rf.675642d855ab402a4e70f62f46e6e078.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_011201.jpg,base_cx_011201.jpg,train,existing,dhash,4,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1123200000-jpg_png_jpg.rf.314687b36a5ad0d607b4d306c53feb5f.jpg,test/images/1123200000-jpg_png_jpg.rf.314687b36a5ad0d607b4d306c53feb5f.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\test\base_cx_022161.jpg,base_cx_022161.jpg,test,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\113600000-jpg_png_jpg.rf.a20449ebd093841cda7fc4f89c118175.jpg,test/images/113600000-jpg_png_jpg.rf.a20449ebd093841cda7fc4f89c118175.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\val\base_umfih_1130.jpg,base_umfih_1130.jpg,val,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1154870000-jpg_png_jpg.rf.b58bc86b0009ff155104cacef61b4e4f.jpg,test/images/1154870000-jpg_png_jpg.rf.b58bc86b0009ff155104cacef61b4e4f.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_009534.jpg,base_cx_009534.jpg,train,existing,dhash,2,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1181690000-jpg_png_jpg.rf.d9f2ff174355fff2055ce7e19627d111.jpg,test/images/1181690000-jpg_png_jpg.rf.d9f2ff174355fff2055ce7e19627d111.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\test\base_cx_029189.jpg,base_cx_029189.jpg,test,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1261690000-jpg_png_jpg.rf.e0ad4f32d9c23165c049e486f244db8e.jpg,test/images/1261690000-jpg_png_jpg.rf.e0ad4f32d9c23165c049e486f244db8e.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_014171.jpg,base_cx_014171.jpg,train,existing,dhash,3,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1272020000-jpg_png_jpg.rf.31b8b1d8fc2f2ad9d6a5786ec2a85921.jpg,test/images/1272020000-jpg_png_jpg.rf.31b8b1d8fc2f2ad9d6a5786ec2a85921.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_014239.jpg,base_cx_014239.jpg,train,existing,dhash,3,exclude
