roboflow_path,roboflow_rel_path,roboflow_split,match_path,match_rel_path,match_split,source,method,distance,decision
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\066c800c-Norozi_syavazan_Atefeh_2022-06-12142626_jpg.rf.87d0e87af0a6dbafa70ac290e820c38c.jpg,test/images/066c800c-Norozi_syavazan_Atefeh_2022-06-12142626_jpg.rf.87d0e87af0a6dbafa70ac290e820c38c.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_umfih_468.jpg,base_umfih_468.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\06aceb48-Rahimi_Arefeh_2022-06-12142023_jpg.rf.2928cac7315c53b134a6872e9f5f35ac.jpg,test/images/06aceb48-Rahimi_Arefeh_2022-06-12142023_jpg.rf.2928cac7315c53b134a6872e9f5f35ac.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_010328.jpg,base_cx_010328.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\07246a96-DIRIKVAND_REZA_2020-06-29174111_jpg.rf.d26b7b3a95131fa2ac8f4509f1c4a3bf.jpg,test/images/07246a96-DIRIKVAND_REZA_2020-06-29174111_jpg.rf.d26b7b3a95131fa2ac8f4509f1c4a3bf.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_024923.jpg,base_cx_024923.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\0ab29cbb-Dahghani_sanij_Mani_16yo_02062021_122725_jpg.rf.8c467ca16fd4c0f2bdbb8e310bf13024.jpg,test/images/0ab29cbb-Dahghani_sanij_Mani_16yo_02062021_122725_jpg.rf.8c467ca16fd4c0f2bdbb8e310bf13024.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_027160.jpg,base_cx_027160.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\0e39dd1f-SADRI_NAHID_2020-06-14213242_jpg.rf.f40654b8e66b49d4526718b190c8cc19.jpg,test/images/0e39dd1f-SADRI_NAHID_2020-06-14213242_jpg.rf.f40654b8e66b49d4526718b190c8cc19.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_umfih_1465.jpg,base_umfih_1465.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1012790000-jpg_png_jpg.rf.5621cc89a96618c1f0a28157c75b2da7.jpg,test/images/1012790000-jpg_png_jpg.rf.5621cc89a96618c1f0a28157c75b2da7.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_013456.jpg,base_cx_013456.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1036000000-jpg_png_jpg.rf.fbc0d8f23fc9262645855d2b759f957a.jpg,test/images/1036000000-jpg_png_jpg.rf.fbc0d8f23fc9262645855d2b759f957a.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_023401.jpg,base_cx_023401.jpg,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1050950000-jpg_png_jpg.rf.028de4a17b746fadd1761f4a8d7591d9.jpg,test/images/1050950000-jpg_png_jpg.rf.028de4a17b746fadd1761f4a8d7591d9.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_026248.jpg,base_cx_026248.jpg,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\105250000-jpg_png_jpg.rf.2f7364137297ccf9d85d690736c588d9.jpg,test/images/105250000-jpg_png_jpg.rf.2f7364137297ccf9d85d690736c588d9.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_006344.jpg,base_cx_006344.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\kaggle\dental_disease_panoramic_detection\YOLO\YOLO\test\images\1053190000-jpg_png_jpg.rf.bcd12bf069985bcfde4bff8ffb0967cc.jpg,test/images/1053190000-jpg_png_jpg.rf.bcd12bf069985bcfde4bff8ffb0967cc.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical_zenodo_5class\images\train\base_cx_010053.jpg,base_cx_010053.jpg,train,existing,dhash,5,exclude
