coords,issue,line,path,split
"[-1096.5, -780.5, -81.0, -233.0]",bbox_out_of_normalized_range,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1096.5, -780.5, -81.0, -233.0]",bbox_non_positive_size,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1096.5, -780.5, -81.0, -233.0]",bbox_tiny,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1096.5, -780.5, -81.0, -233.0]",bbox_extends_outside_image,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1182.5, -794.5, -121.0, -237.0]",bbox_out_of_normalized_range,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1182.5, -794.5, -121.0, -237.0]",bbox_non_positive_size,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1182.5, -794.5, -121.0, -237.0]",bbox_tiny,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1182.5, -794.5, -121.0, -237.0]",bbox_extends_outside_image,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1257.0, -818.0, -78.0, -290.0]",bbox_out_of_normalized_range,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1257.0, -818.0, -78.0, -290.0]",bbox_non_positive_size,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1257.0, -818.0, -78.0, -290.0]",bbox_tiny,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
