roboflow_path,roboflow_rel_path,roboflow_split,match_path,match_rel_path,match_split,source,method,distance,decision
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v1.jpg,test/images/v1.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v1.jpg,umfih_v1.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v10.jpg,test/images/v10.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v10.jpg,umfih_v10.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v100.jpg,test/images/v100.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v100.jpg,umfih_v100.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v11.jpg,test/images/v11.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v11.jpg,umfih_v11.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v12.jpg,test/images/v12.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v12.jpg,umfih_v12.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v13.jpg,test/images/v13.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v13.jpg,umfih_v13.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v14.jpg,test/images/v14.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v13.jpg,umfih_v13.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v16.jpg,test/images/v16.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v16.jpg,umfih_v16.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v17.jpg,test/images/v17.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v17.jpg,umfih_v17.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v18.jpg,test/images/v18.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v18.jpg,umfih_v18.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v19.jpg,test/images/v19.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v19.jpg,umfih_v19.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v2.jpg,test/images/v2.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v2.jpg,umfih_v2.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v20.jpg,test/images/v20.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v20.jpg,umfih_v20.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v21.jpg,test/images/v21.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v21.jpg,umfih_v21.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v22.jpg,test/images/v22.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v22.jpg,umfih_v22.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v24.jpg,test/images/v24.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v24.jpg,umfih_v24.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v25.jpg,test/images/v25.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v25.jpg,umfih_v25.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v27.jpg,test/images/v27.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v27.jpg,umfih_v27.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v29.jpg,test/images/v29.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v29.jpg,umfih_v29.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v3.jpg,test/images/v3.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v3.jpg,umfih_v3.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v30.jpg,test/images/v30.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v30.jpg,umfih_v30.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v31.jpg,test/images/v31.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v31.jpg,umfih_v31.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v32.jpg,test/images/v32.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v32.jpg,umfih_v32.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v33.jpg,test/images/v33.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v32.jpg,umfih_v32.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v34.jpg,test/images/v34.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v34.jpg,umfih_v34.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v35.jpg,test/images/v35.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v35.jpg,umfih_v35.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v37.jpg,test/images/v37.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v37.jpg,umfih_v37.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v38.jpg,test/images/v38.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v38.jpg,umfih_v38.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v39.jpg,test/images/v39.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\cx_029189.jpg,cx_029189.jpg,test,existing,dhash,1,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v4.jpg,test/images/v4.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v4.jpg,umfih_v4.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v40.jpg,test/images/v40.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v40.jpg,umfih_v40.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v41.jpg,test/images/v41.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v41.jpg,umfih_v41.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v42.jpg,test/images/v42.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v42.jpg,umfih_v42.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v44.jpg,test/images/v44.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v44.jpg,umfih_v44.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v45.jpg,test/images/v45.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v45.jpg,umfih_v45.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v46.jpg,test/images/v46.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v46.jpg,umfih_v46.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v47.jpg,test/images/v47.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v47.jpg,umfih_v47.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v49.jpg,test/images/v49.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v49.jpg,umfih_v49.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v5.jpg,test/images/v5.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v5.jpg,umfih_v5.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v50.jpg,test/images/v50.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v50.jpg,umfih_v50.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v51.jpg,test/images/v51.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v51.jpg,umfih_v51.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v53.jpg,test/images/v53.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v53.jpg,umfih_v53.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v54.jpg,test/images/v54.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v54.jpg,umfih_v54.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v55.jpg,test/images/v55.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v55.jpg,umfih_v55.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v56.jpg,test/images/v56.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v56.jpg,umfih_v56.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v57.jpg,test/images/v57.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v57.jpg,umfih_v57.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v58.jpg,test/images/v58.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v58.jpg,umfih_v58.jpg,test,existing,dhash,0,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v59.jpg,test/images/v59.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\test\umfih_v59.jpg,umfih_v59.jpg,test,existing,dhash,0,exclude
