roboflow_path,roboflow_rel_path,roboflow_split,match_path,match_rel_path,match_split,source,method,distance,decision
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v15.jpg,test/images/v15.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\test_217.png,test_217.png,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v23.jpg,test/images/v23.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\test_17.png,test_17.png,train,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v52.jpg,test/images/v52.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\cx_015457.jpg,cx_015457.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v61.jpg,test/images/v61.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_1267.jpg,umfih_1267.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v64.jpg,test/images/v64.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_1538.jpg,umfih_1538.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v65.jpg,test/images/v65.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_1045.jpg,umfih_1045.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v66.jpg,test/images/v66.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_1198.jpg,umfih_1198.jpg,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v72.jpg,test/images/v72.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_1039.jpg,umfih_1039.jpg,train,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v78.jpg,test/images/v78.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_394.jpg,umfih_394.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v79.jpg,test/images/v79.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_43.jpg,umfih_43.jpg,train,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v80.jpg,test/images/v80.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_223.jpg,umfih_223.jpg,train,existing,dhash,5,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v81.jpg,test/images/v81.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_1051.jpg,umfih_1051.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v83.jpg,test/images/v83.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_82.jpg,umfih_82.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v84.jpg,test/images/v84.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\cx_022076.jpg,cx_022076.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v86.jpg,test/images/v86.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_43.jpg,umfih_43.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v9.jpg,test/images/v9.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\cx_010103.jpg,cx_010103.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v90.jpg,test/images/v90.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\val\cx_013115.jpg,cx_013115.jpg,val,existing,dhash,7,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v93.jpg,test/images/v93.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_874.jpg,umfih_874.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v98.jpg,test/images/v98.jpg,test,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_53.jpg,umfih_53.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\1.jpg,test_alte_cabinete/Ext-validation/images/1.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\test_140.png,test_140.png,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\100.jpg,test_alte_cabinete/Ext-validation/images/100.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\cx_014618.jpg,cx_014618.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\101.jpg,test_alte_cabinete/Ext-validation/images/101.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_975.jpg,umfih_975.jpg,train,existing,dhash,6,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\106.jpg,test_alte_cabinete/Ext-validation/images/106.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\umfih_307.jpg,umfih_307.jpg,train,existing,dhash,8,exclude
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\107.jpg,test_alte_cabinete/Ext-validation/images/107.jpg,roboflow,C:\Pywork\dental\dental\data\detection_hierarchical\images\train\cx_022077.jpg,cx_022077.jpg,train,existing,dhash,7,exclude
