epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.679,3.32309,3.9154,1.32473,0.50646,0.16183,0.11036,0.04601,3.17392,2.61277,1.20709,0.000475629,0.000475629,0.000475629
2,292.288,3.11306,2.55719,1.26054,0.58891,0.10871,0.10782,0.04101,3.11971,2.54135,1.21543,0.000857718,0.000857718,0.000857718
3,429.006,2.98111,2.35689,1.22108,0.68454,0.26054,0.25316,0.10845,2.91776,2.14267,1.1511,0.00114549,0.00114549,0.00114549
4,566.572,2.88943,2.27156,1.16837,0.77857,0.1951,0.20003,0.0681,2.8325,2.31607,1.11769,0.00100459,0.00100459,0.00100459
5,704.098,2.77856,2.12767,1.14339,0.44968,0.28017,0.25829,0.104,2.66729,2.03713,1.08184,0.000863116,0.000863116,0.000863116
6,840.821,2.64646,2.02685,1.11101,0.20797,0.30786,0.14632,0.05881,2.87576,2.93007,1.15009,0.000721645,0.000721645,0.000721645
7,975.487,2.54444,1.93063,1.08518,0.38764,0.34523,0.28678,0.12807,2.55011,1.88021,1.05244,0.000580174,0.000580174,0.000580174
8,1107.88,2.50392,1.89622,1.07475,0.39757,0.31577,0.27251,0.11339,2.54935,2.01556,1.06061,0.000438703,0.000438703,0.000438703
9,1241.11,2.42528,1.81562,1.05846,0.49419,0.34524,0.33248,0.15185,2.38472,1.74417,1.0203,0.000297232,0.000297232,0.000297232
10,1374.14,2.36978,1.75666,1.04993,0.46889,0.36364,0.32922,0.15301,2.37965,1.74258,1.01112,0.000155761,0.000155761,0.000155761
