epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2081,2.05609,3.83702,1.44305,0.08285,0.2507,0.10856,0.05906,1.58774,2.7268,1.215,0.000413793,0.000413793,0.000413793
2,129.355,1.604,2.62151,1.18207,0.68102,0.23311,0.20569,0.11785,1.43921,2.28034,1.17146,0.000820183,0.000820183,0.000820183
3,192.04,1.45929,2.43578,1.15214,0.48201,0.22733,0.21185,0.12626,1.43624,2.22426,1.17961,0.00121626,0.00121626,0.00121626
4,254.181,1.41741,2.30025,1.11159,0.44814,0.29254,0.24132,0.13639,1.36412,2.05759,1.16177,0.00120359,0.00120359,0.00120359
5,316.974,1.39437,2.22139,1.12021,0.45564,0.34966,0.25051,0.13213,1.39992,2.02555,1.18379,0.00118812,0.00118812,0.00118812
6,379.116,1.39066,2.16215,1.11258,0.24683,0.40173,0.28238,0.16303,1.37747,1.92806,1.16598,0.00117266,0.00117266,0.00117266
7,440.816,1.38849,2.1752,1.122,0.48476,0.36621,0.26311,0.1652,1.28862,2.00483,1.14521,0.00115719,0.00115719,0.00115719
8,502.428,1.32818,2.08683,1.11672,0.23298,0.38502,0.27101,0.16517,1.29091,1.93051,1.13399,0.00114172,0.00114172,0.00114172
9,564.351,1.26734,2.00964,1.07034,0.29892,0.45883,0.29452,0.1889,1.24816,1.92664,1.11925,0.00112625,0.00112625,0.00112625
10,626.823,1.28456,1.97872,1.08583,0.27074,0.40287,0.30311,0.16949,1.30648,1.88852,1.14308,0.00111078,0.00111078,0.00111078
11,689.255,1.25329,1.95505,1.06866,0.30272,0.37561,0.30776,0.19072,1.2799,1.92561,1.1244,0.00109531,0.00109531,0.00109531
12,751.652,1.25207,1.96741,1.07495,0.30324,0.50107,0.30692,0.19768,1.20007,1.86394,1.08026,0.00107984,0.00107984,0.00107984
13,814.503,1.2331,1.89666,1.05408,0.33794,0.37237,0.31953,0.21726,1.20022,1.79552,1.09286,0.00106437,0.00106437,0.00106437
14,882.476,1.2109,1.84638,1.05355,0.28978,0.41132,0.28924,0.18284,1.2562,1.87934,1.09667,0.00104891,0.00104891,0.00104891
15,947.626,1.16201,1.76877,1.02859,0.26933,0.44005,0.30919,0.20066,1.19168,1.81862,1.07696,0.00103344,0.00103344,0.00103344
16,1016.94,1.15468,1.72626,1.02843,0.25084,0.52423,0.31706,0.20844,1.20542,1.7822,1.08521,0.00101797,0.00101797,0.00101797
17,1082.4,1.14482,1.73593,1.02329,0.25815,0.41714,0.30382,0.19546,1.21625,1.83715,1.09082,0.0010025,0.0010025,0.0010025
18,1146.68,1.12035,1.67208,1.0279,0.29987,0.51325,0.31104,0.20378,1.2417,1.8258,1.08713,0.000987031,0.000987031,0.000987031
19,1210.03,1.10838,1.62981,1.02411,0.26731,0.52032,0.29451,0.19745,1.22792,1.80375,1.09154,0.000971562,0.000971562,0.000971562
20,1276.83,1.14302,1.6479,1.02519,0.29345,0.40168,0.30826,0.20453,1.23158,1.84382,1.0848,0.000956094,0.000956094,0.000956094
