epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5687,3.04356,3.47226,1.24941,0.12369,0.11555,0.09018,0.03634,3.52218,3.4885,1.214,0.000415564,0.000415564,0.000415564
2,93.3807,2.59131,2.42945,1.06422,0.4122,0.12126,0.09726,0.04343,3.45255,2.96229,1.14845,0.000804767,0.000804767,0.000804767
3,139.131,2.4903,2.15781,1.03789,0.18994,0.1613,0.1314,0.05907,3.25591,2.87084,1.05962,0.00116647,0.00116647,0.00116647
4,184.874,2.39505,1.96571,1.00895,0.13797,0.22694,0.10607,0.04184,3.42601,2.83907,1.16693,0.00112625,0.00112625,0.00112625
5,230.551,2.34223,1.8466,0.99175,0.25188,0.18226,0.17794,0.06996,3.30608,2.37354,1.03159,0.001085,0.001085,0.001085
6,276.187,2.23638,1.74381,0.97277,0.16439,0.26061,0.14358,0.06179,3.155,2.34986,1.02379,0.00104375,0.00104375,0.00104375
7,321.898,2.20072,1.65835,0.95739,0.16825,0.19952,0.12384,0.05291,3.1939,2.53353,1.05164,0.0010025,0.0010025,0.0010025
8,367.804,2.12312,1.58464,0.94828,0.22923,0.2749,0.17612,0.07863,3.04066,2.16302,0.99998,0.00096125,0.00096125,0.00096125
9,413.536,2.08105,1.53698,0.93887,0.31808,0.23877,0.25262,0.11963,3.02306,2.09389,0.9952,0.00092,0.00092,0.00092
10,460.493,2.06319,1.50438,0.93976,0.29311,0.26845,0.20096,0.08837,2.9987,2.11961,0.98081,0.00087875,0.00087875,0.00087875
11,507.125,2.02632,1.45314,0.93472,0.31188,0.25193,0.19481,0.08482,2.93356,2.08605,0.97908,0.0008375,0.0008375,0.0008375
12,554.396,1.98972,1.43103,0.92753,0.2793,0.28581,0.19323,0.08784,2.96173,2.10365,0.99645,0.00079625,0.00079625,0.00079625
13,600.788,1.98743,1.42104,0.92524,0.23458,0.29403,0.18199,0.08056,2.9848,2.15748,0.98797,0.000755,0.000755,0.000755
14,647.851,1.94495,1.3857,0.92098,0.31917,0.30811,0.21966,0.09931,2.88313,2.04141,0.97835,0.00071375,0.00071375,0.00071375
15,693.842,1.93805,1.37808,0.91672,0.44261,0.2758,0.23422,0.10963,2.95594,2.15829,0.97967,0.0006725,0.0006725,0.0006725
16,735.333,1.88475,1.33121,0.90398,0.25634,0.29721,0.2086,0.09562,2.84312,1.98269,0.96337,0.00063125,0.00063125,0.00063125
17,777.063,1.88808,1.32214,0.90391,0.31599,0.24055,0.21958,0.09727,2.84922,1.97142,0.96222,0.00059,0.00059,0.00059
18,818.487,1.83375,1.27395,0.90311,0.29592,0.25748,0.21227,0.09171,2.82569,1.92947,0.96045,0.00054875,0.00054875,0.00054875
19,860.123,1.82944,1.28579,0.8939,0.40069,0.30272,0.23332,0.10571,2.83162,1.94269,0.95407,0.0005075,0.0005075,0.0005075
