epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.738,3.9072,4.03775,1.269,0.47564,0.15304,0.09743,0.04128,3.58841,3.18283,1.15116,0.000474924,0.000474924,0.000474924
2,81.3694,3.59276,2.8208,1.11667,0.53908,0.11189,0.07932,0.02127,3.8986,3.33189,1.33295,0.000919866,0.000919866,0.000919866
3,121.193,3.46794,2.59562,1.0966,0.46981,0.14839,0.09212,0.03307,3.9198,4.35324,1.36081,0.00133337,0.00133337,0.00133337
4,160.228,3.38852,2.45489,1.07353,0.56011,0.1168,0.13598,0.05519,3.39536,2.48286,1.05126,0.00128753,0.00128753,0.00128753
5,199.371,3.32785,2.3827,1.04374,0.58219,0.24265,0.19458,0.0802,3.20856,2.27502,1.05727,0.00124037,0.00124037,0.00124037
6,238.619,3.25048,2.30445,1.03463,0.75496,0.14059,0.07399,0.0301,3.72536,5.29542,1.28429,0.00119322,0.00119322,0.00119322
7,277.746,3.14636,2.19586,1.02046,0.58245,0.25023,0.20197,0.08358,3.1592,2.47063,1.04992,0.00114606,0.00114606,0.00114606
8,316.854,3.13542,2.16066,1.00478,0.63177,0.26125,0.23014,0.09728,3.04312,2.08556,1.00441,0.0010989,0.0010989,0.0010989
9,357.003,3.0515,2.1227,1.00223,0.49631,0.23427,0.12635,0.05164,3.37655,4.41548,1.17272,0.00105174,0.00105174,0.00105174
10,396.111,3.03324,2.05616,1.00041,0.53534,0.27242,0.17971,0.07316,2.97698,2.19586,0.98045,0.00100459,0.00100459,0.00100459
11,435.183,3.0202,2.07808,0.98688,0.24282,0.3142,0.24975,0.09816,2.98626,2.02607,0.97888,0.00095743,0.00095743,0.00095743
12,474.332,2.92542,2.01237,0.9845,0.33101,0.28388,0.17037,0.06884,3.17514,2.88712,1.07301,0.000910273,0.000910273,0.000910273
13,513.829,2.94905,2.03711,0.97771,0.42925,0.2971,0.26903,0.11329,2.87699,1.96233,0.96953,0.000863116,0.000863116,0.000863116
14,553.012,2.865,1.96784,0.97381,0.34201,0.33241,0.27307,0.11685,2.87587,1.95222,0.95939,0.000815959,0.000815959,0.000815959
15,592.31,2.85901,1.96414,0.97309,0.36042,0.34612,0.28472,0.11958,2.85665,1.91425,0.96319,0.000768802,0.000768802,0.000768802
16,631.761,2.82622,1.92818,0.9676,0.37339,0.32188,0.27696,0.12013,2.81802,1.89716,0.95346,0.000721645,0.000721645,0.000721645
17,671.102,2.82021,1.94184,0.96421,0.41757,0.33442,0.28879,0.12611,2.79605,1.88348,0.94967,0.000674488,0.000674488,0.000674488
18,710.48,2.81651,1.91628,0.95638,0.34183,0.34675,0.27223,0.11973,2.78791,1.91722,0.94584,0.000627331,0.000627331,0.000627331
19,749.754,2.80471,1.89708,0.95833,0.42584,0.31668,0.28189,0.118,2.77802,1.87126,0.94372,0.000580174,0.000580174,0.000580174
20,789.032,2.75787,1.86133,0.94987,0.40306,0.34397,0.30205,0.13167,2.7399,1.82571,0.9401,0.000533017,0.000533017,0.000533017
21,841.647,2.66832,1.849,0.98004,0.36109,0.33865,0.28913,0.12414,2.75166,1.85015,0.93621,0.00048586,0.00048586,0.00048586
22,881.539,2.63832,1.826,0.97358,0.42054,0.34667,0.29909,0.12814,2.75473,1.81716,0.94123,0.000438703,0.000438703,0.000438703
23,921.24,2.60617,1.80572,0.97078,0.41464,0.35972,0.28979,0.12879,2.73586,1.82715,0.93774,0.000391546,0.000391546,0.000391546
24,961.012,2.57531,1.77331,0.96149,0.38465,0.37453,0.30773,0.13108,2.6679,1.78714,0.92819,0.000344389,0.000344389,0.000344389
25,1000.83,2.5795,1.78234,0.96341,0.38397,0.38076,0.31167,0.13571,2.67083,1.79802,0.93292,0.000297232,0.000297232,0.000297232
26,1040.33,2.53575,1.74903,0.96632,0.39527,0.37511,0.30656,0.13173,2.70566,1.78722,0.93195,0.000250075,0.000250075,0.000250075
27,1080.4,2.54212,1.73002,0.95719,0.42254,0.38033,0.3162,0.13449,2.67034,1.7672,0.92818,0.000202918,0.000202918,0.000202918
28,1119.99,2.52021,1.72036,0.95785,0.41348,0.36762,0.30037,0.13224,2.65867,1.76973,0.92844,0.000155761,0.000155761,0.000155761
29,1159.62,2.49642,1.69998,0.95127,0.39798,0.38179,0.30605,0.13372,2.64337,1.766,0.92336,0.000108604,0.000108604,0.000108604
30,1198.94,2.49683,1.70317,0.95218,0.41172,0.3978,0.31685,0.13811,2.6364,1.7458,0.92243,6.1447e-05,6.1447e-05,6.1447e-05
