epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1345,3.45807,3.92162,1.32919,0.61378,0.18807,0.1827,0.08035,3.14812,2.99891,1.22494,0.000474924,0.000474924,0.000474924
2,114.696,3.13008,2.71051,1.19249,0.59128,0.10334,0.12363,0.05565,3.15245,2.69547,1.15289,0.000932422,0.000932422,0.000932422
3,170.984,3.04136,2.47292,1.18127,0.27783,0.24972,0.20198,0.09025,2.89819,2.36869,1.13574,0.00137106,0.00137106,0.00137106
4,227.253,2.95058,2.33733,1.148,0.60187,0.23339,0.18316,0.07031,2.94605,2.34096,1.13726,0.00134412,0.00134412,0.00134412
5,283.459,2.84975,2.22423,1.11035,0.30154,0.29747,0.24166,0.1055,2.82973,2.23902,1.15169,0.00131582,0.00131582,0.00131582
6,339.671,2.82039,2.15658,1.11121,0.43824,0.20614,0.09314,0.04219,3.49333,7.4969,1.55494,0.00128753,0.00128753,0.00128753
7,395.997,2.70613,2.05545,1.08866,0.60728,0.2801,0.2254,0.09418,2.74456,2.31375,1.13281,0.00125923,0.00125923,0.00125923
8,452.209,2.70837,2.03192,1.07829,0.37553,0.32602,0.28468,0.12473,2.63454,1.91821,1.07815,0.00123094,0.00123094,0.00123094
9,508.683,2.64202,1.9917,1.06674,0.59367,0.243,0.11931,0.05325,3.22135,5.88285,1.43884,0.00120265,0.00120265,0.00120265
10,565.344,2.61118,1.92149,1.06847,0.51951,0.31047,0.28063,0.12599,2.53524,1.97307,1.05551,0.00117435,0.00117435,0.00117435
11,621.732,2.61081,1.93574,1.05828,0.35714,0.32923,0.28699,0.12549,2.57525,1.95271,1.05269,0.00114606,0.00114606,0.00114606
12,678.225,2.53288,1.87203,1.05487,0.27674,0.3103,0.14714,0.06145,2.63537,2.52976,1.09587,0.00111776,0.00111776,0.00111776
13,734.59,2.5634,1.90588,1.04964,0.39014,0.33844,0.29894,0.12935,2.48665,1.87454,1.0418,0.00108947,0.00108947,0.00108947
14,791.176,2.4816,1.83572,1.04324,0.31836,0.35294,0.2744,0.11384,2.48008,1.95759,1.04286,0.00106118,0.00106118,0.00106118
15,847.605,2.4808,1.84496,1.04027,0.35687,0.36287,0.27729,0.11975,2.44173,1.93094,1.0425,0.00103288,0.00103288,0.00103288
16,904.156,2.45551,1.81074,1.03896,0.38369,0.37335,0.31114,0.14514,2.42419,1.80443,1.03233,0.00100459,0.00100459,0.00100459
17,960.83,2.44532,1.81531,1.03529,0.39065,0.35519,0.30033,0.13639,2.38445,1.84842,1.02992,0.000976293,0.000976293,0.000976293
18,1017.28,2.45763,1.8048,1.03044,0.36441,0.35657,0.28366,0.12718,2.41463,1.84896,1.04041,0.000947999,0.000947999,0.000947999
19,1073.52,2.44735,1.79026,1.02697,0.33619,0.37034,0.28309,0.12628,2.40849,1.90597,1.03235,0.000919704,0.000919704,0.000919704
20,1129.83,2.40495,1.74531,1.01784,0.51398,0.34656,0.32155,0.14787,2.37423,1.73406,1.02144,0.00089141,0.00089141,0.00089141
21,1186.18,2.41922,1.74742,1.02245,0.4926,0.35932,0.33734,0.14984,2.34396,1.7247,1.01888,0.000863116,0.000863116,0.000863116
22,1242.43,2.35417,1.70554,1.01424,0.35364,0.3671,0.29174,0.13406,2.3923,1.9211,1.03778,0.000834822,0.000834822,0.000834822
23,1298.67,2.37809,1.73299,1.015,0.40611,0.36354,0.28236,0.12662,2.35761,1.75823,1.01986,0.000806528,0.000806528,0.000806528
24,1354.94,2.40096,1.73751,1.01541,0.35877,0.40088,0.32114,0.14749,2.32549,1.72345,1.01542,0.000778233,0.000778233,0.000778233
25,1411.13,2.36959,1.717,1.01036,0.40996,0.39121,0.32802,0.1554,2.29867,1.67853,1.01199,0.000749939,0.000749939,0.000749939
26,1467.51,2.33114,1.69532,1.00592,0.4678,0.3425,0.28479,0.13485,2.337,1.88676,1.01999,0.000721645,0.000721645,0.000721645
27,1524.25,2.36057,1.69042,1.00081,0.40651,0.36437,0.30182,0.1323,2.32277,1.73428,1.01102,0.000693351,0.000693351,0.000693351
28,1580.56,2.33872,1.66868,1.00074,0.32801,0.36408,0.25061,0.11331,2.32131,1.85947,1.0171,0.000665057,0.000665057,0.000665057
29,1636.83,2.3193,1.6711,1.00128,0.46015,0.37429,0.32857,0.15341,2.26898,1.68024,1.0022,0.000636762,0.000636762,0.000636762
30,1693.01,2.32315,1.67705,0.99621,0.38983,0.39093,0.30874,0.13999,2.28463,1.74562,1.00677,0.000608468,0.000608468,0.000608468
31,1749.25,2.3161,1.66525,0.99096,0.47917,0.38977,0.34648,0.15998,2.26096,1.65749,1.00176,0.000580174,0.000580174,0.000580174
32,1805.38,2.30861,1.64978,0.99021,0.42435,0.40826,0.3419,0.15463,2.25876,1.65022,1.00205,0.00055188,0.00055188,0.00055188
33,1861.54,2.28375,1.64364,0.98986,0.39628,0.3973,0.3344,0.15411,2.28327,1.67677,1.00577,0.000523586,0.000523586,0.000523586
