epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.546,3.47617,3.98481,1.32377,0.63533,0.15621,0.16131,0.07552,3.16221,3.29253,1.26225,0.000474924,0.000474924,0.000474924
2,356.359,3.1296,2.73809,1.2025,0.47761,0.16996,0.11073,0.04978,3.11072,3.23766,1.22384,0.000919866,0.000919866,0.000919866
3,533.682,3.03058,2.44861,1.17885,0.62284,0.23461,0.20579,0.08778,2.88994,2.38389,1.14555,0.00133337,0.00133337,0.00133337
4,710.975,2.93583,2.34072,1.15205,0.52114,0.194,0.12301,0.0519,3.17152,5.67736,1.2866,0.00128753,0.00128753,0.00128753
5,888.723,2.86677,2.24197,1.12875,0.65989,0.26487,0.25005,0.10555,2.77176,2.13709,1.09571,0.00124037,0.00124037,0.00124037
6,1066.07,2.81037,2.16723,1.10946,0.31697,0.28294,0.24515,0.1077,2.71166,2.29901,1.09814,0.00119322,0.00119322,0.00119322
7,1243.25,2.74202,2.11994,1.09179,0.2073,0.31445,0.17791,0.07061,2.80733,2.67001,1.1283,0.00114606,0.00114606,0.00114606
8,1420.31,2.7019,2.05126,1.08199,0.34544,0.2407,0.13132,0.0601,3.2406,4.70213,1.37572,0.0010989,0.0010989,0.0010989
9,1597.47,2.64725,2.00374,1.07226,0.44405,0.31853,0.26388,0.11459,2.60552,2.04577,1.07197,0.00105174,0.00105174,0.00105174
10,1774.74,2.6338,1.98722,1.05829,0.67103,0.2895,0.26871,0.12288,2.513,2.03628,1.04743,0.00100459,0.00100459,0.00100459
11,1951.28,2.56349,1.92562,1.04945,0.30096,0.31438,0.2192,0.09277,2.59592,2.07606,1.05146,0.00095743,0.00095743,0.00095743
12,2126.53,2.58081,1.93086,1.04909,0.20898,0.29507,0.11618,0.05018,2.77708,3.37212,1.15362,0.000910273,0.000910273,0.000910273
13,2301.88,2.55108,1.89505,1.03744,0.37411,0.32996,0.29205,0.13414,2.45639,1.88221,1.03076,0.000863116,0.000863116,0.000863116
14,2477.57,2.51792,1.86654,1.03494,0.34765,0.33659,0.26205,0.11454,2.47842,1.95232,1.04473,0.000815959,0.000815959,0.000815959
15,2653.05,2.50663,1.87778,1.02897,0.39202,0.34806,0.30684,0.13295,2.42629,1.80914,1.02681,0.000768802,0.000768802,0.000768802
16,2828.54,2.43909,1.82404,1.02432,0.45618,0.35346,0.30881,0.14374,2.38276,1.80647,1.01958,0.000721645,0.000721645,0.000721645
17,3004.09,2.45311,1.80005,1.03117,0.4563,0.34694,0.31859,0.14901,2.41048,1.7848,1.02417,0.000674488,0.000674488,0.000674488
18,3179.57,2.43124,1.78286,1.01411,0.44998,0.36213,0.32458,0.15137,2.35155,1.73561,1.01595,0.000627331,0.000627331,0.000627331
19,3355.25,2.42051,1.76174,1.01295,0.42736,0.36307,0.32202,0.14778,2.37045,1.76023,1.01203,0.000580174,0.000580174,0.000580174
20,3530.87,2.35566,1.72955,1.01186,0.39195,0.37796,0.3179,0.1501,2.34233,1.71538,1.00885,0.000533017,0.000533017,0.000533017
21,3701.99,2.27726,1.70543,1.03118,0.4711,0.34619,0.32005,0.15323,2.33628,1.72987,1.00653,0.00048586,0.00048586,0.00048586
22,3873.08,2.26158,1.68345,1.02974,0.39642,0.39474,0.32994,0.15556,2.32881,1.72266,1.00373,0.000438703,0.000438703,0.000438703
23,4043.91,2.23446,1.66597,1.0257,0.40035,0.37885,0.31629,0.14277,2.34722,1.73939,1.01075,0.000391546,0.000391546,0.000391546
24,4214.93,2.2167,1.64665,1.01874,0.39978,0.39057,0.33793,0.1597,2.31911,1.68447,1.00292,0.000344389,0.000344389,0.000344389
25,4386.13,2.19891,1.6378,1.01636,0.41104,0.40672,0.33774,0.15866,2.30405,1.70606,0.99997,0.000297232,0.000297232,0.000297232
26,4557.38,2.17426,1.60698,1.01754,0.45009,0.40163,0.35277,0.1624,2.276,1.66641,0.99684,0.000250075,0.000250075,0.000250075
27,4728.49,2.17185,1.60429,1.01675,0.44587,0.41154,0.35476,0.16701,2.26288,1.6578,0.99227,0.000202918,0.000202918,0.000202918
28,4899.54,2.15418,1.59861,1.00729,0.44247,0.39943,0.35546,0.1688,2.24346,1.64146,0.98904,0.000155761,0.000155761,0.000155761
29,5073.66,2.16366,1.58301,1.0053,0.46438,0.39296,0.35537,0.17115,2.2517,1.64355,0.99141,0.000108604,0.000108604,0.000108604
30,5244.49,2.14219,1.56974,0.99388,0.45541,0.40263,0.35668,0.17341,2.24166,1.64149,0.98986,6.1447e-05,6.1447e-05,6.1447e-05
