epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7186,2.91314,4.00662,1.52501,0.81228,0.09091,0.06375,0.02824,2.16763,2.91469,1.21134,0.00041523,0.00041523,0.00041523
2,155.152,2.15465,3.00582,1.16553,0.39196,0.24904,0.13289,0.06947,2.04533,2.59395,1.15383,0.000804444,0.000804444,0.000804444
3,227.936,1.9395,2.61755,1.11058,0.22372,0.23722,0.2104,0.10475,1.98727,2.4459,1.15196,0.00116616,0.00116616,0.00116616
4,297.701,1.84595,2.51666,1.07419,0.43298,0.23291,0.21212,0.11205,1.72639,2.31978,1.06002,0.00112625,0.00112625,0.00112625
5,367.026,1.77655,2.49291,1.05101,0.46953,0.25658,0.22874,0.11454,1.73164,2.27538,1.05519,0.001085,0.001085,0.001085
6,436.668,1.79444,2.38805,1.05688,0.73559,0.30015,0.24205,0.13185,1.68736,2.12369,1.04719,0.00104375,0.00104375,0.00104375
7,512.285,1.70584,2.29002,1.04285,0.22746,0.27701,0.24125,0.13466,1.64185,2.20444,1.04464,0.0010025,0.0010025,0.0010025
8,585.629,1.65856,2.20935,1.03756,0.69038,0.29753,0.25358,0.13955,1.64861,2.20629,1.04614,0.00096125,0.00096125,0.00096125
9,656.945,1.63385,2.22164,1.01429,0.49806,0.26869,0.24998,0.1393,1.65203,2.14684,1.03548,0.00092,0.00092,0.00092
10,727.422,1.67559,2.19801,1.02956,0.19194,0.3224,0.24885,0.12197,1.65499,2.1577,1.04113,0.00087875,0.00087875,0.00087875
11,796.184,1.67029,2.17836,1.02197,0.48997,0.30958,0.25976,0.14647,1.59241,2.11628,1.01836,0.0008375,0.0008375,0.0008375
12,843.743,1.61431,2.08182,1.02916,0.17847,0.36686,0.26052,0.14064,1.6054,2.1166,1.03046,0.00079625,0.00079625,0.00079625
13,889.927,1.58042,2.09216,0.99018,0.22379,0.34582,0.25589,0.13414,1.54663,2.05204,1.00677,0.000755,0.000755,0.000755
14,941.455,1.54129,2.09448,0.98681,0.24578,0.38541,0.26743,0.14746,1.61127,2.07088,1.01243,0.00071375,0.00071375,0.00071375
15,983.655,1.53839,2.00569,1.00198,0.20934,0.36374,0.26976,0.14956,1.52048,2.08826,0.99623,0.0006725,0.0006725,0.0006725
16,1040.31,1.49502,2.00202,0.98447,0.2595,0.37914,0.26203,0.14726,1.51857,2.0741,0.99491,0.00063125,0.00063125,0.00063125
17,1106.33,1.46177,1.99496,0.97157,0.47859,0.33093,0.2552,0.14372,1.49869,2.02199,1.00196,0.00059,0.00059,0.00059
18,1158.32,1.44211,1.8851,0.97968,0.2043,0.34878,0.25825,0.14277,1.53463,2.10413,1.00382,0.00054875,0.00054875,0.00054875
19,1215.41,1.49747,1.9608,0.97407,0.20474,0.31388,0.26318,0.15206,1.53123,2.10241,0.99686,0.0005075,0.0005075,0.0005075
20,1268.33,1.44073,1.99776,0.95229,0.25868,0.31431,0.26235,0.15398,1.52118,2.10211,0.99761,0.00046625,0.00046625,0.00046625
21,1321.31,1.50047,2.04241,0.95986,0.22066,0.38944,0.25804,0.14641,1.52236,2.09792,1.00296,0.000425,0.000425,0.000425
22,1375.22,1.40383,1.92638,0.96392,0.27828,0.35989,0.28011,0.16775,1.49368,2.15759,0.99515,0.00038375,0.00038375,0.00038375
23,1441.81,1.40578,1.94248,0.94585,0.44219,0.29803,0.28328,0.16268,1.50279,2.13394,1.00058,0.0003425,0.0003425,0.0003425
24,1503.8,1.42242,1.89921,0.93865,0.25222,0.33793,0.26828,0.16373,1.48511,2.10658,0.9873,0.00030125,0.00030125,0.00030125
25,1550.94,1.33862,1.82756,0.94496,0.22577,0.34863,0.26853,0.16742,1.46616,2.12119,0.98961,0.00026,0.00026,0.00026
26,1637.5,1.37194,1.83354,0.94193,0.21284,0.35984,0.27685,0.17263,1.47299,2.13517,0.98232,0.00021875,0.00021875,0.00021875
27,1742.42,1.33075,1.79151,0.93633,0.24562,0.3717,0.2743,0.16871,1.46946,2.16259,0.98499,0.0001775,0.0001775,0.0001775
28,1800.91,1.36712,1.80758,0.93058,0.23731,0.40169,0.28155,0.16935,1.4655,2.15529,0.98545,0.00013625,0.00013625,0.00013625
29,1852.73,1.30313,1.76702,0.93628,0.22156,0.3717,0.2712,0.16798,1.45044,2.1413,0.98195,9.5e-05,9.5e-05,9.5e-05
30,1897.83,1.32781,1.76763,0.93011,0.21946,0.36886,0.27711,0.16892,1.44624,2.13094,0.98145,5.375e-05,5.375e-05,5.375e-05
