epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.749,2.76094,3.52842,1.40822,0.45786,0.1324,0.12535,0.05427,2.57321,2.55318,1.24253,0.00036979,0.00036979,0.00036979
2,1034.96,2.48155,2.3039,1.27623,0.57399,0.23583,0.21021,0.092,2.45031,2.19666,1.24314,0.000732796,0.000732796,0.000732796
3,1547.05,2.42653,2.13694,1.25524,0.63074,0.25668,0.2235,0.09831,2.33232,2.0607,1.22409,0.00108847,0.00108847,0.00108847
4,2056.78,2.36938,2.09868,1.2307,0.67991,0.26707,0.23045,0.10348,2.26048,1.94178,1.20636,0.001078,0.001078,0.001078
5,2567.46,2.27536,1.96751,1.2026,0.44747,0.2166,0.1368,0.06289,2.34132,2.4643,1.24054,0.001067,0.001067,0.001067
6,3077.92,2.23021,1.90988,1.18722,0.6044,0.2582,0.23478,0.10517,2.21079,1.91053,1.1846,0.00105601,0.00105601,0.00105601
7,3589.7,2.19659,1.87846,1.17921,0.5767,0.29528,0.24452,0.10891,2.1532,1.8757,1.16793,0.00104501,0.00104501,0.00104501
8,4102.57,2.16433,1.80617,1.1686,0.51919,0.24227,0.14289,0.06722,2.21328,2.4412,1.20492,0.00103401,0.00103401,0.00103401
9,4614.78,2.15857,1.78911,1.16885,0.65577,0.28842,0.26181,0.11345,2.06217,1.72556,1.14682,0.00102301,0.00102301,0.00102301
10,5126.77,2.12055,1.75091,1.14501,0.44951,0.28599,0.172,0.07772,2.22928,2.66194,1.22809,0.00101201,0.00101201,0.00101201
11,5639.35,2.09201,1.74999,1.13916,0.60786,0.33565,0.28212,0.12617,2.01601,1.75268,1.11656,0.00100101,0.00100101,0.00100101
12,6151.36,2.08981,1.72568,1.13291,0.56376,0.32137,0.26833,0.12382,2.04239,1.75148,1.13095,0.000990012,0.000990012,0.000990012
13,6663.25,2.06554,1.69479,1.13311,0.59576,0.31375,0.26439,0.12083,2.04841,1.71937,1.12452,0.000979013,0.000979013,0.000979013
14,7178.17,2.04362,1.66966,1.13445,0.52735,0.30854,0.24192,0.11075,2.0339,1.96544,1.14143,0.000968014,0.000968014,0.000968014
15,7695.41,2.02557,1.62808,1.12397,0.578,0.31649,0.28526,0.13247,2.01112,1.70271,1.11887,0.000957015,0.000957015,0.000957015
16,8207.12,2.01841,1.63299,1.11893,0.49148,0.29788,0.19395,0.08601,2.21005,2.25735,1.22621,0.000946016,0.000946016,0.000946016
17,8719.85,1.99398,1.61395,1.11675,0.55145,0.32988,0.27278,0.12808,2.00323,1.72305,1.12238,0.000935018,0.000935018,0.000935018
18,9232.61,2.01504,1.6523,1.113,0.59512,0.346,0.2853,0.13045,1.95132,1.63909,1.10094,0.000924019,0.000924019,0.000924019
19,9746.73,1.99486,1.62059,1.1088,0.61096,0.34867,0.3003,0.13878,1.93967,1.63917,1.09771,0.00091302,0.00091302,0.00091302
20,10260.7,1.9904,1.6049,1.10686,0.54705,0.34974,0.27658,0.12949,1.95187,1.73098,1.10714,0.000902021,0.000902021,0.000902021
21,10775.1,1.9657,1.57034,1.10359,0.56868,0.34744,0.28929,0.13422,1.94093,1.71886,1.10475,0.000891022,0.000891022,0.000891022
22,11290.5,1.94921,1.56354,1.09803,0.63038,0.37177,0.31044,0.14447,1.92241,1.60251,1.09441,0.000880023,0.000880023,0.000880023
23,11803.8,1.95646,1.55184,1.10166,0.56142,0.349,0.2836,0.13296,1.9435,1.61187,1.09986,0.000869024,0.000869024,0.000869024
