epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.693,3.34815,3.65452,1.32903,0.62501,0.201,0.19485,0.07793,3.10024,2.48943,1.19979,0.000475629,0.000475629,0.000475629
2,279.063,3.08334,2.54791,1.2328,0.35695,0.21515,0.21639,0.09241,3.03555,2.43754,1.16623,0.000857718,0.000857718,0.000857718
3,409.093,2.94631,2.36363,1.19013,0.58329,0.23637,0.19004,0.07245,2.90355,2.37299,1.15162,0.00114549,0.00114549,0.00114549
4,538.652,2.85168,2.2487,1.14821,0.34911,0.29342,0.22245,0.09576,2.76837,2.16146,1.09872,0.00100459,0.00100459,0.00100459
5,668.202,2.71551,2.11271,1.12587,0.52957,0.25977,0.23245,0.11021,2.68517,2.04961,1.07991,0.000863116,0.000863116,0.000863116
6,798.888,2.63335,2.00225,1.10217,0.40765,0.33505,0.30599,0.14108,2.59921,1.90342,1.05024,0.000721645,0.000721645,0.000721645
7,929.395,2.5073,1.90881,1.07591,0.45546,0.35239,0.32409,0.14202,2.49672,1.80384,1.02925,0.000580174,0.000580174,0.000580174
8,1058.6,2.45484,1.84612,1.05889,0.42738,0.34173,0.31027,0.14211,2.4769,1.84052,1.03035,0.000438703,0.000438703,0.000438703
9,1187.76,2.3753,1.77261,1.04487,0.4898,0.35896,0.3206,0.14283,2.39597,1.7385,1.01245,0.000297232,0.000297232,0.000297232
10,1316.6,2.31974,1.71219,1.0357,0.53663,0.37472,0.34519,0.1531,2.35229,1.68924,1.00387,0.000155761,0.000155761,0.000155761
