epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.931,2.10797,1.49069,0.95155,0.35326,0.40748,0.33556,0.15557,2.16378,1.66121,0.97664,0.000475629,0.000475629,0.000475629
2,557.93,2.17631,1.55297,0.96106,0.44293,0.45964,0.37516,0.1751,2.15647,1.58115,0.97075,0.000933113,0.000933113,0.000933113
3,808.278,2.23639,1.61747,0.97732,0.3663,0.38483,0.29548,0.13456,2.27487,1.88716,1.01814,0.00137173,0.00137173,0.00137173
4,1057.78,2.24898,1.62171,0.98287,0.44913,0.40753,0.35819,0.15888,2.21828,1.61813,0.98591,0.00134412,0.00134412,0.00134412
5,1306.04,2.2455,1.6224,0.98121,0.45209,0.42066,0.3708,0.15787,2.22779,1.61989,0.98429,0.00131582,0.00131582,0.00131582
6,1553.91,2.2559,1.61926,0.98062,0.12167,0.28245,0.07726,0.03469,2.88094,6.43049,1.29434,0.00128753,0.00128753,0.00128753
7,1804.28,2.25959,1.62243,0.9775,0.41882,0.41974,0.35062,0.1492,2.20972,1.64169,0.99053,0.00125923,0.00125923,0.00125923
8,2055.98,2.24725,1.60384,0.98122,0.4643,0.41104,0.3543,0.15368,2.1694,1.5959,0.97659,0.00123094,0.00123094,0.00123094
9,2306.96,2.20734,1.60066,0.96679,0.43079,0.37163,0.33685,0.15384,2.20974,1.73981,0.9933,0.00120265,0.00120265,0.00120265
10,2555.03,2.23142,1.59205,0.97228,0.34824,0.39664,0.29211,0.12848,2.22432,1.75496,0.98502,0.00117435,0.00117435,0.00117435
11,2806.31,2.22159,1.58822,0.97095,0.50514,0.3852,0.34935,0.15087,2.19398,1.63649,0.97878,0.00114606,0.00114606,0.00114606
12,3057.69,2.19266,1.57487,0.97202,0.49567,0.43833,0.38041,0.17346,2.11485,1.54224,0.96697,0.00111776,0.00111776,0.00111776
