epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,522.902,3.39417,3.9344,2.70098,0.98284,0,0.19677,0.17445,0.1289,0.04662,0.25958,0.16857,0.11881,0.03795,3.62489,3.9018,2.69708,1.07736,0,0.000476245,0.000476245,0.000476245
2,1030.93,3.36628,3.76662,2.42935,0.95383,0,0.19339,0.144,0.10991,0.0394,0.17397,0.14066,0.09732,0.02509,3.60219,3.83307,2.6541,1.04846,0,0.000921143,0.000921143,0.000921143
3,1537.86,3.35761,3.76624,2.39869,0.9483,0,0.34667,0.1844,0.15184,0.04963,0.29464,0.17303,0.13984,0.04217,3.52279,3.75894,2.57591,1.05148,0,0.0013346,0.0013346,0.0013346
4,2045.14,3.32397,3.70183,2.36439,0.94212,0,0.29367,0.15757,0.15634,0.05976,0.17439,0.13053,0.11741,0.03273,3.51828,3.75184,2.51907,1.03815,0,0.00128753,0.00128753,0.00128753
5,2551.54,3.28121,3.66054,2.32015,0.93085,0,0.3893,0.20178,0.19103,0.0807,0.28956,0.18116,0.16798,0.05387,3.50502,3.73943,2.55169,1.03783,0,0.00124037,0.00124037,0.00124037
6,3062.84,3.26948,3.64245,2.28787,0.92676,0,0.31901,0.21292,0.19038,0.07535,0.26582,0.18836,0.14012,0.04556,3.44679,3.65375,2.47848,1.02966,0,0.00119322,0.00119322,0.00119322
7,3587.54,3.24891,3.61568,2.26211,0.91746,0,0.39939,0.22124,0.16862,0.07192,0.2304,0.18556,0.16481,0.05964,3.41763,3.63823,2.45391,1.02572,0,0.00114606,0.00114606,0.00114606
8,4093.64,3.25047,3.58546,2.2487,0.92121,0,0.27018,0.21879,0.17916,0.07394,0.23113,0.20277,0.15783,0.05127,3.42252,3.64982,2.4174,1.03389,0,0.0010989,0.0010989,0.0010989
9,4599.8,3.27615,3.60882,2.24277,0.92242,0,0.25387,0.23125,0.1341,0.04991,0.17538,0.2198,0.12133,0.04149,3.39304,3.58952,2.52581,1.02554,0,0.00105174,0.00105174,0.00105174
10,5105.63,3.22433,3.58867,2.20857,0.90796,0,0.44036,0.18563,0.17258,0.0688,0.19944,0.21373,0.15,0.04586,3.37388,3.62011,2.45808,1.01644,0,0.00100459,0.00100459,0.00100459
11,5611.82,3.23263,3.59397,2.20921,0.91571,0,0.39316,0.21545,0.16778,0.06383,0.24964,0.19811,0.14268,0.04903,3.36539,3.5975,2.44855,1.01199,0,0.00095743,0.00095743,0.00095743
12,6117.54,3.19093,3.56946,2.18177,0.90713,0,0.39289,0.22345,0.16663,0.06703,0.38209,0.19298,0.15259,0.0506,3.36501,3.60048,2.40422,1.01188,0,0.000910273,0.000910273,0.000910273
13,6624.33,3.20173,3.54805,2.17787,0.90857,0,0.46511,0.22275,0.17579,0.06857,0.36329,0.19828,0.15835,0.05184,3.36688,3.56398,2.45487,1.00769,0,0.000863116,0.000863116,0.000863116
14,7131.21,3.1937,3.53371,2.16044,0.90943,0,0.24047,0.24386,0.18307,0.06966,0.1948,0.22527,0.16328,0.05841,3.33734,3.55902,2.42711,1.00749,0,0.000815959,0.000815959,0.000815959
15,7637.43,3.18018,3.5903,2.14414,0.90505,0,0.26581,0.23522,0.17508,0.07065,0.24847,0.2099,0.15488,0.04932,3.3126,3.56873,2.40317,1.00138,0,0.000768802,0.000768802,0.000768802
