path,rel_path,split,sha256,dhash,width,height
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v26.jpg,test/images/v26.jpg,test,e3caa5b950f9cd078db450e36f465661d9960512d68e915d517fec8220529bf0,16810063957579209487,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v28.jpg,test/images/v28.jpg,test,1aaf8910025a5d73c961372e92e7ba4db85d1125bc5fb2c48cc3b4fd23508fa7,16785112011496844749,2775,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v36.jpg,test/images/v36.jpg,test,eaaaeec3ce27e34291da4ff34d96f50bad44276aad42658d0cbcf4745308de80,17644202748923256478,2775,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v43.jpg,test/images/v43.jpg,test,b1eae44dec888c639ae3e02025e242e0e753bb3d61eaa73de7ca56a398743563,16782911302336235333,2775,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v48.jpg,test/images/v48.jpg,test,7fb95e183ed49bc6117f019b843356797d425c14207ed00d9f0c9d2c2b64d5f7,17359372571017447046,2902,1483
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v63.jpg,test/images/v63.jpg,test,2d24fadb7689589b2bc967830d69603074dc54a33cd6d22b6455cdc2132fa4fe,14720486154082921358,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v74.jpg,test/images/v74.jpg,test,623553e3fccfba20e0932682e2bbfa1462236bbc82da7d2b4f0bb52a2b38cba6,3598431263393002283,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v76.jpg,test/images/v76.jpg,test,a7ec4f4527948b99a2abd44db49c25375ad43a473bdfeee8a6460ac1bab186ec,13002160616235428107,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v87.jpg,test/images/v87.jpg,test,87eb9c56624d5314a14264e185e9a5fe6da340d9a7cbc3860ce9570425f92337,7775571869438798094,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v89.jpg,test/images/v89.jpg,test,f91a720bbc1a6adc895f5e7affaf2696d17484648d6fb87955e524b9aab93c8e,12949802160416305931,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v92.jpg,test/images/v92.jpg,test,7f992d46e9a77c4bb082a58dbca16bbcd530400719410599848402d8c2761d33,16740842407760305934,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v95.jpg,test/images/v95.jpg,test,8b1e7acc09536f67e593e03c2f9c39a08530058feb5692d2edd52e0973ae890c,12961465702437565078,2648,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v96.jpg,test/images/v96.jpg,test,4b03288c9f588e78902099e2391d66dfa364e9039ece981702796a7de1f08b44,12305125672512850701,2774,1504
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test\images\v97.jpg,test/images/v97.jpg,test,bdc17f928270981ce5eaf0805b0ffd6811961382a116da301c953e59bd5cf8b3,12856057760243738895,2382,1475
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\10.jpg,test_alte_cabinete/Ext-validation/images/10.jpg,roboflow,87d027b8e03c179a156b008a37430530a5a177a8c7ff6b9b3170fa1473ec0c79,14757920131596889933,2760,1504
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\102.jpg,test_alte_cabinete/Ext-validation/images/102.jpg,roboflow,57ba27a991d0ad4cd23a909e588a60715dc80bb6fc24b8091116d57fde546a60,7536389607754763597,2760,1504
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\103.jpg,test_alte_cabinete/Ext-validation/images/103.jpg,roboflow,ca7cfa555e35c0f75be1393073d6456bd678e42917f750e756054123e849c522,16488969515054608268,2760,1504
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\104.jpg,test_alte_cabinete/Ext-validation/images/104.jpg,roboflow,c2524bffa6ae4a256abae17526f87bb568b9ba029f33abd16bbef3999f6854b5,17623898181117611341,2760,1504
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\105.jpg,test_alte_cabinete/Ext-validation/images/105.jpg,roboflow,afedaadc8c6d3d532c08932c9e9ae7112084c64f2b2af8d4d383e272fce96019,14615459188154502926,2760,1504
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\108.jpg,test_alte_cabinete/Ext-validation/images/108.jpg,roboflow,d317b1a58a1a11d304bf41dc0674aa0236158f48aeb6405948c292999ac0a136,16774938883256953677,2760,1504
C:\Pywork\dental\dental\data\raw\zenodo\panoramic_radiography_yolo_dataset_14_classes\test_alte_cabinete\Ext-validation\images\109.jpg,test_alte_cabinete/Ext-validation/images/109.jpg,roboflow,5da33a4364b1e461681eb82f8ee020e2a875773a140599fbd95a08155d6042a4,10585944751736564557,2760,1504
